Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
1,3,0,3,9,7,8,18,5,13,14,11,7,14,2,17,24,3,10,8,17,11,30,6,10,36,55,28,29,15,20,5,11,36,64,55,37,64,24,10,38,29,,,,72,6,13,48,49,35,96,71,2,89,97,22,213,230,56
0,2,1,2,12,2,5,20,0,14,15,8,6,14,11,27,39,9,4,5,18,15,52,8,12,63,52,18,42,13,12,8,17,62,184,103,49,157,31,28,45,71,,,,102,19,5,54,90,57,150,111,56,124,73,52,194,377,138
1,1,2,2,6,1,5,8,2,9,7,11,2,9,3,13,27,4,3,8,11,11,17,4,8,45,23,11,35,5,8,2,13,34,87,52,37,41,26,5,30,33,,,,104,11,9,43,53,39,64,33,1,72,81,9,221,122,11
0,1,1,1,11,12,8,11,9,11,20,14,4,18,9,19,46,13,8,11,31,13,38,22,11,42,64,34,44,21,15,7,24,22,37,38,48,74,17,31,36,46,,,,91,17,11,58,71,84,107,102,4,62,144,81,254,314,79
0,3,0,2,14,16,6,20,5,5,25,4,4,15,16,9,19,11,3,6,24,4,32,19,26,57,66,4,40,26,21,0,29,31,33,23,40,127,24,4,58,53,,,,34,9,18,15,83,72,151,117,120,137,92,129,54,431,415
0,1,0,3,21,27,6,15,4,8,35,14,10,25,25,17,54,41,3,11,49,24,135,29,8,55,123,7,57,28,25,7,10,52,144,89,62,156,33,6,26,16,,,,72,43,19,43,107,115,270,248,560,198,183,140,187,548,570
0,3,1,1,8,1,9,10,5,13,9,13,10,14,1,17,18,4,2,3,15,15,17,4,7,31,14,39,29,11,7,16,18,32,96,57,37,43,11,1,45,34,,,,76,15,10,36,40,43,62,56,40,58,57,25,185,134,18
0,3,1,1,13,5,7,24,1,19,35,12,14,17,9,32,59,15,16,29,31,29,89,18,22,62,63,77,69,22,23,127,44,30,31,23,107,91,16,8,64,39,,,,158,37,26,121,90,76,213,238,201,225,95,104,303,467,238
0,0,0,0,5,1,1,12,0,2,13,3,1,3,10,5,12,12,4,4,13,7,27,10,2,18,3,8,17,9,3,92,21,39,142,108,19,27,12,3,84,14,,,,40,22,22,17,37,19,56,76,58,36,18,31,82,96,47
0,4,0,0,9,10,1,9,1,4,21,4,14,19,8,11,29,4,8,10,16,19,19,9,11,24,42,21,34,16,14,31,21,38,224,50,21,49,13,6,42,38,,,,42,9,12,24,49,54,85,53,48,34,88,58,197,282,106
0,5,1,8,15,21,11,22,4,11,24,13,6,19,10,14,46,25,5,15,39,14,51,14,25,67,161,15,49,21,10,2,32,26,106,49,43,105,37,7,85,54,,,,70,32,14,34,86,147,152,177,32,112,85,95,180,415,346
0,5,0,1,10,26,4,20,8,6,17,13,8,15,9,21,42,17,4,10,25,10,39,10,10,80,71,14,70,13,16,1,29,42,84,12,48,65,14,21,45,23,,,,60,13,10,42,69,103,100,135,159,149,115,76,145,293,250
0,3,0,1,14,9,8,10,13,11,19,22,9,10,13,19,38,17,8,2,29,16,46,15,26,79,39,17,53,15,17,0,28,43,13,89,42,82,22,13,32,38,,,,53,4,8,28,63,74,103,127,9,155,154,86,326,381,363
0,3,0,0,11,42,1,17,3,8,41,10,9,23,3,17,38,19,12,22,26,21,104,13,12,51,69,22,73,25,24,28,24,39,33,51,76,136,14,12,27,28,,,,105,62,8,50,100,68,166,218,282,228,171,49,279,395,407
1,3,0,2,6,5,6,12,3,8,14,16,8,9,4,16,31,7,6,6,15,17,28,11,6,68,52,12,56,11,16,5,13,76,55,169,53,48,18,20,27,15,,,,69,8,6,59,53,45,87,77,32,121,67,26,130,204,92
0,0,0,5,11,37,5,20,3,5,41,12,5,15,15,18,53,31,4,15,32,19,103,20,23,90,59,7,64,27,21,50,47,15,54,66,54,80,22,1,33,24,,,,101,68,12,46,88,112,146,156,234,94,105,85,172,307,278
2,4,0,2,24,21,8,30,13,15,50,15,10,29,17,23,53,39,12,16,39,21,84,28,11,79,115,17,84,32,30,38,36,19,262,38,86,166,43,1,77,30,,,,109,102,48,73,117,123,247,276,83,275,151,101,411,257,525
0,6,1,1,12,17,0,34,11,9,40,15,3,19,10,21,42,16,6,14,27,19,52,23,8,60,38,11,67,22,20,15,31,43,82,51,56,154,19,5,39,76,,,,90,64,15,59,83,82,162,237,93,156,106,159,197,232,418
1,6,0,15,26,50,8,28,9,16,34,17,13,33,23,34,67,28,12,28,60,36,157,35,6,99,272,44,110,47,26,36,50,24,30,50,75,156,30,6,52,46,,,,128,38,35,79,163,169,270,280,393,239,151,141,192,600,453
0,2,0,2,13,10,4,17,9,4,16,15,2,14,9,14,34,15,7,6,33,14,31,16,48,70,54,15,41,16,15,1,26,43,147,11,34,81,15,5,58,27,,,,28,17,4,20,58,82,133,187,88,110,103,118,96,348,418
0,1,0,1,12,6,2,12,6,3,12,10,3,7,7,7,18,4,2,4,21,8,25,4,6,57,27,4,48,13,6,4,18,39,81,103,28,52,9,4,44,23,,,,35,6,11,23,47,68,123,109,32,90,52,71,79,120,117
0,0,0,3,12,14,3,19,5,8,20,16,4,17,17,18,28,19,10,4,18,13,59,15,7,64,28,19,55,16,19,2,36,22,43,26,42,70,11,4,30,43,,,,60,5,21,31,51,73,148,104,105,107,105,75,131,137,144
0,3,0,6,19,8,18,22,8,25,34,15,10,22,14,21,48,19,6,18,33,25,100,18,50,65,94,26,71,34,37,5,40,28,41,83,73,175,23,10,82,24,,,,229,82,32,66,90,89,273,314,150,247,94,210,319,326,340
