,AATF,ACTN1,B3GALT4,BGN,CALM1,CBL,CBLB,CCND1,CDK1,CDKN1A,COL4A1,CTSB,DAP,DDX6,DVL2,FKBP1A,FLT1,FXR2,ITGA4,ITGA5,ITGA7,ITGB1,ITGB5,LAMP1,MXD1,NAPA,NFKB2,PDGFRB,POLDIP3,RABIF,RAC1,SERPINF1,SH3KBP1,SLC25A3,SMARCA4,SMARCB1,SOX10,SPARC,TOMM34,TRIM8,VANGL1,VANGL2,VCP
cell_23_Pos18,0.017849907546791905,0.05820622026127795,0.0,0.21419889056150285,0.0,0.0,0.0,0.0,0.14900792386887154,0.008536912304987434,0.21109455881423472,0.1459035921216034,0.13348626513253076,0.05587797145082683,0.009312995241804472,0.1125320258384707,0.003104331747268157,0.038028063904034924,0.0,0.02250640516769414,0.0,0.1164124405225559,0.03492373215676677,0.1303819333852626,0.002328248810451118,0.046564976209022356,0.029491151599047492,0.04190847858812012,0.05820622026127795,0.006208663494536314,0.062086634945363144,0.23204879810829476,0.021730322230877102,0.3833849707876174,0.049669307956290515,0.05044539089310755,0.0,0.355445985062204,0.017073824609974867,0.06363880081899723,0.014745575799523746,0.007760829368170393,0.11097985996483663
cell_23_Pos22,0.01294291697315494,0.12057112128731376,0.0,0.0,0.08562237382240961,0.015629589796503637,0.007964871983479964,0.012280391982967143,0.004978044989674977,0.0971267365925583,0.049780449896749776,0.07033315408426635,0.0219033979545699,0.01004759344060948,0.0029868269938049864,0.08819554242312766,0.014934134969024933,0.02121158615239779,0.0,0.014513190525324803,0.0,0.06698395627072987,0.05177166789261976,0.11052352784670429,0.0,0.025677183237113117,0.04778923190087978,0.01004759344060948,0.05376288588848976,0.0,0.04281118691120481,0.09824313586373715,0.00896048098141496,0.20318466735454724,0.03584192392565984,0.01897878761004013,0.0,0.23667664548991219,0.013938525971089936,0.059169161372478046,0.007964871983479964,0.0033491978135364933,0.10852138077491451
cell_23_Pos23,0.016113540388460076,0.12032217604468874,0.0,0.0,0.12085155291345057,0.023101857800580237,0.0026855900647433464,0.018288970758792687,0.1503930436256274,0.026952167434010278,0.06624455493033587,0.06449268635995316,0.001790393376495564,0.0,0.019694327141451206,0.09240743120232095,0.0,0.024064435208937748,0.0,0.03754051892594289,0.0,0.11262155677782865,0.03312227746516794,0.13476083717005138,0.00447598344123891,0.03465278670087036,0.04028385097115019,0.04331598337608795,0.06624455493033587,0.0096257740835751,0.08593888207178708,0.11358413418618617,0.023275113894442333,0.2829977580571079,0.03759826090640685,0.035615364109227866,0.0,0.31572538994126326,0.011637556947221166,0.05294175745966304,0.023275113894442333,0.00866319667521759,0.09936683239550381
cell_23_Pos25,0.03517120976970931,0.1812670041977326,0.0027054776745930238,0.2813696781576745,0.14339031675343025,0.0027054776745930238,0.0027054776745930238,0.09739719628534886,0.029760254420523262,0.024349299071337215,0.09469171861075584,0.09198624093616281,0.12174649535668607,0.12174649535668607,0.02164382139674419,0.14068483907883725,0.0,0.03517120976970931,0.0,0.07034241953941862,0.0,0.1812670041977326,0.05410955349186048,0.19479439257069772,0.0027054776745930238,0.07034241953941862,0.07575337488860467,0.04328764279348838,0.09198624093616281,0.02164382139674419,0.113630062332907,0.2380820353641861,0.07034241953941862,0.4193490395619187,0.07034241953941862,0.07034241953941862,0.0,0.32195184327656984,0.03787668744430234,0.08928076326156979,0.024349299071337215,0.01352738837296512,0.1812670041977326
cell_23_Pos26,0.02506441680440817,0.13576559102387759,0.0,0.2067814386363674,0.0,0.0,0.010443507001836737,0.0438627294077143,0.006266104201102043,0.03237487170569389,0.07623760111340819,0.06892714621212248,0.0,0.0,0.012532208402204086,0.12949948682277557,0.0,0.019842663303489803,0.0,0.020887014003673474,0.0010443507001836737,0.09085851091597962,0.04281837870753063,0.12323338262167352,0.0,0.05012883360881634,0.039685326606979605,0.009399156301653064,0.0438627294077143,0.009399156301653064,0.06788279551193879,0.14412039662534698,0.04072967730716328,0.2579546229453674,0.03864097590679593,0.03237487170569389,0.0,0.23602325824151027,0.01670961120293878,0.05012883360881634,0.02506441680440817,0.009399156301653064,0.11801162912075513
cell_23_Pos27,0.01625580355409458,0.10295342250926567,0.0,0.0,0.0,0.0,0.004644515301169879,0.013933545903509637,0.26009285686551326,0.008514944718811446,0.0,0.0,0.0,0.0,0.017029889437622892,0.10295342250926567,0.0007740858835283132,0.01935214708820783,0.0,0.02631892003996265,0.0,0.10837202369396386,0.05031558242934036,0.11069428134454878,0.003096343534113253,0.03251160710818916,0.041800637710528915,0.03870429417641566,0.044122895361113856,0.006192687068226506,0.06115278479873675,0.14243180256920962,0.017803975321151203,0.31892338401366505,0.04025246594347229,0.04721923889522711,0.0,0.25157791214670183,0.008514944718811446,0.02864117769054759,0.03096343534113253,0.006966772951754819,0.0936643919069259
cell_23_Pos29,0.026479265354888645,0.11121455904741843,0.0017083397003153967,0.25002370793367007,0.16827146048106656,0.0426461842963785,0.011958377902207776,0.09030956674527212,0.21354246253942458,0.01923259291797462,0.03331262415615023,0.005853397844600971,0.05808354981072348,0.032611787991348264,0.023062585954257857,0.13044715196539305,0.004270849250788491,0.03428418737551997,0.0,0.01923259291797462,0.0,0.10034396305030235,0.06064605936119658,0.09950776335821651,0.0,0.029266989223004854,0.08370864531545442,0.032611787991348264,0.05637521011040809,0.0142153947654595,0.08541698501576983,0.06605977567478238,0.02904177490536174,0.31859208268470995,0.047833511608831106,0.041809984604292645,0.0008541698501576984,0.21490332086606423,0.011958377902207776,0.06187877721435312,0.02562509550473095,0.015887794149631207,0.1392296855757048
cell_23_Pos3,0.028002196221092422,0.17280735596707822,0.0048031082950295055,0.4246609284894492,0.23056016642229984,0.03344981468642105,0.03202072196686337,0.08466759944960982,0.2515426064418863,0.056004392442184844,0.16650775422768954,0.1606441783210039,0.171657934124632,0.07958518925994688,0.026528396419982295,0.17096077692877476,0.010583449931201227,0.0521705486065058,0.0014737998011101275,0.03684499502775319,0.002947599602220255,0.15180137951434314,0.07074239045328612,0.18864637454209632,0.005291724965600614,0.08990178786771778,0.07221619025439624,0.044979662207605214,0.07221619025439624,0.019159397414431657,0.08763851447842315,0.3638060913850421,0.038318794828863315,0.4023473457030648,0.0751637898566165,0.04616074426726105,0.0014737998011101275,0.4244543427197167,0.018521037379602145,0.08548038846438738,0.03478780727387789,0.019212433180118022,0.1827511753376558
cell_23_Pos30,0.018731896224395788,0.12242632175230105,0.0,0.0,0.14784818091398103,0.03344981468642105,0.007358959231012631,0.03478780727387789,0.2515426064418863,0.012710929580839999,0.07158260342894104,0.10703940699654735,0.0,0.0,0.017393903636938945,0.10570141440909052,0.0,0.03478780727387789,0.0,0.026759851749136837,0.0,0.10637041070281894,0.0321118220989642,0.08429353300978104,0.000668996293728421,0.03947078132997684,0.04883672944217473,0.028766840630322102,0.03947078132997684,0.011372936993383157,0.08763851447842315,0.13848223280178315,0.012710929580839999,0.38400387260011365,0.040139777623705256,0.04616074426726105,0.0,0.27562647301610943,0.016724907343210527,0.06489264049165683,0.03478780727387789,0.015386914755753683,0.15520714014499368
cell_23_Pos32,0.016010360983431685,0.09286009370390377,0.0048031082950295055,0.3362175806520654,0.13929014055585567,0.027217613671833864,0.03202072196686337,0.017611397081774855,0.1633056820310032,0.014409324885088517,0.16650775422768954,0.07204662442544259,0.1264818517691103,0.06083937173704041,0.017611397081774855,0.10086527419561962,0.008005180491715842,0.04482901075360872,0.0,0.01120725268840218,0.0,0.08965802150721744,0.048031082950295054,0.13929014055585567,0.0016010360983431686,0.02241450537680436,0.06724351613041309,0.02241450537680436,0.05923833563869724,0.0048031082950295055,0.05763729954035407,0.06244040783538358,0.017611397081774855,0.24655955914484795,0.051233155146981395,0.030419685868520206,0.0,0.22574608986638678,0.012808288786745349,0.04643004685195189,0.01120725268840218,0.019212433180118022,0.08325387711384477
